"sector","provincia","código postal"
"Aesa","Santo Domingo",11101
"Agua Dulce","Santo Domingo",10305
"Alameda","Santo Domingo",10902
"Alma Rosa II","Santo Domingo",11506
"Alpes I","Santo Domingo",11509
"Altos de Arroyo Hondo I","Santo Domingo",10605
"Altos de Arroyo Hondo II","Santo Domingo",10506
"Altos de Arroyo Hondo III","Santo Domingo",10605
"Altos de Cancino","Santo Domingo",11519
"Altos de Chavón","Santo Domingo",11402
"Altos de Sabana Perdida","Santo Domingo",11404
"Altos Del Oeste","Santo Domingo",10804
"Altos Del Parque","Santo Domingo",11302
"Amarilis III","Santo Domingo",11804
"Ana Virginia","Santo Domingo",11801
"Antillas","Santo Domingo",10118
"Arboleda","Santo Domingo",10121
"Arismar","Santo Domingo",11705
"Arroyo Manzano","Santo Domingo",10505
"Atala","Santo Domingo",10115
"Atlántida","Santo Domingo",11101
"Barrio Kennedy","Santo Domingo",11805
"Barrio Antillano","Santo Domingo",10902
"Barrio Arenoso","Santo Domingo",10805
"Barrio Brisa de Charles","Santo Domingo",11803
"Barrio Chavón","Santo Domingo",10801
"Barrio Enriquillo","Santo Domingo",11002
"Barrio Gran Poder de Dios","Santo Domingo",10802
"Barrio Hermanas Mirabal","Santo Domingo",11302
"Barrio Holguín","Santo Domingo",11002
"Barrio Invi","Santo Domingo",11101
"Barrio Josue","Santo Domingo",11005
"Barrio La Esperanza","Santo Domingo",10801
"Barrio La Fe","Santo Domingo",10801
"Barrio La Piña","Santo Domingo",10802
"Barrio La Torre","Santo Domingo",10801
"Barrio La Unión","Santo Domingo",10801
"Barrio Landia","Santo Domingo",10802
"Barrio Las Mercedes","Santo Domingo",10803
"Barrio Libertador","Santo Domingo",11005
"Barrio Norte","Santo Domingo",11301
"Barrio Nuevo","Santo Domingo",11203
"Barrio Nuevo","Santo Domingo",11302
"Barrio Nuevo","Santo Domingo",11402
"Barrio Obrero","Santo Domingo",10515
"Barrio Paraíso","Santo Domingo",11115
"Barrio Paraíso","Santo Domingo",11809
"Barrio Paraíso","Santo Domingo",10802
"Barrio Progreso","Santo Domingo",10805
"Batey Bienvenido","Santo Domingo",10902
"Batey La Balsa","Santo Domingo",11808
"Batey Palmarejo","Santo Domingo",10701
"Batey Piragua","Santo Domingo",11808
"Bayona","Santo Domingo",10903
"Bella Colina","Santo Domingo",10902
"Bella Vista","Santo Domingo",10112
"Bella Vista","Santo Domingo",10111
"Bello Campo","Santo Domingo",11509
"Borojol","Santo Domingo",10213
"Brisa Del Eden","Santo Domingo",11803
"Buenaventura II","Santo Domingo",11805
"Buena Vista","Santo Domingo",10505
"Buenas Noches","Santo Domingo",10902
"Buenos Aires Del","Santo Domingo",11102
"Cabirma Del Este I","Santo Domingo",11513
"Cabirma Del Este II","Santo Domingo",11809
"Cachimán","Santo Domingo",10514
"Calero","Santo Domingo",11601
"Campechito II","Santo Domingo",11207
"Cancino","Santo Domingo",11516
"Cancino Adentro","Santo Domingo",11517
"Cancino I","Santo Domingo",11512
"Cancino II","Santo Domingo",11512
"Capotillo","Santo Domingo",10407
"Carlos Álvarez","Santo Domingo",11202
"Carmelita","Santo Domingo",10128
"Carmen Amelia","Santo Domingo",10509
"Carolina","Santo Domingo",11510
"Castellana","Santo Domingo",10133
"Centro de Los Heroes","Santo Domingo",10101
"Centro Olímpico","Santo Domingo",10122
"Cerros de Arroyo","Santo Domingo",10504
"Cerros de Arroyo Hondo III","Santo Domingo",10605
"Cerros de Buena Vista I","Santo Domingo",11206
"Cerros de Buena Vista II","Santo Domingo",11206
"Cerros de la Yuca","Santo Domingo",11402
"Cerros de Palmarejo","Santo Domingo",10805
"Cerros de Sabana Perdida","Santo Domingo",11404
"Cerros Del Ozama","Santo Domingo",11904
"Ceuta","Santo Domingo",11206
"Ciudad Agraria","Santo Domingo",10905
"Ciudad Codiana","Santo Domingo",10805
"Ciudad de Los Trabajadores","Santo Domingo",11802
"Ciudad Del Almirante I","Santo Domingo",11806
"Ciudad Del Almirante II","Santo Domingo",11806
"Ciudad Ganadera","Santo Domingo",10116
"Ciudad Moderna","Santo Domingo",10135
"Ciudad Nueva","Santo Domingo",10208
"Ciudad Universitaria","Santo Domingo",10105
"Colinas de Arroyo Hondo","Santo Domingo",10507
"Colinas de Canaan","Santo Domingo",11115
"Colinas Del Este","Santo Domingo",11517
"Colinas Del Norte","Santo Domingo",10701
"Colinas Del Ozama","Santo Domingo",11404
"Colinas Del Seminario","Santo Domingo",10606
"Colonia de Los Doctores","Santo Domingo",11203
"Constelación","Santo Domingo",10601
"Corales Del Sur","Santo Domingo",11704
"Costa Azul","Santo Domingo",11117
"Costa Brava","Santo Domingo",10118
"Costa Caribe","Santo Domingo",11102
"Costa Verde","Santo Domingo",11117
"Cristo Rey","Santo Domingo",10501
"Cruz Grande","Santo Domingo",11207
"Cuesta Brava","Santo Domingo",10505
"Cuesta Hermosa","Santo Domingo",10507
"Cuesta Hermosa III","Santo Domingo",10504
"Domingo Savio","Santo Domingo",10304
"Dominicanos Ausentes","Santo Domingo",11105
"Don Bosco","Santo Domingo",10201
"Don Bosco","Santo Domingo",10202
"Don Honorio","Santo Domingo",10607
"Duarte","Santo Domingo",11003
"Duarte","Santo Domingo",11512
"El Abanico de Herrera","Santo Domingo",10904
"El Brisal","Santo Domingo",11510
"El Cachón","Santo Domingo",11515
"El Cachón de la Rubia","Santo Domingo",11517
"El Cacique","Santo Domingo",10118
"El Café","Santo Domingo",11115
"El Caliche","Santo Domingo",10501
"El Caliche","Santo Domingo",10901
"El Catorce","Santo Domingo",10804
"El 14","Santo Domingo",10804
"El Chucho","Santo Domingo",10803
"El Condado","Santo Domingo",10607
"El Eden","Santo Domingo",11207
"El Embajador","Santo Domingo",10110
"El Ensanchito","Santo Domingo",10411
"El Fundo","Santo Domingo",11204
"El Majagual","Santo Domingo",11401
"El Mamey","Santo Domingo",11201
"El Manguito","Santo Domingo",10108
"El Millón","Santo Domingo",10149
"El Milloncito","Santo Domingo",11402
"El Palmar","Santo Domingo",10904
"El Pedregal","Santo Domingo",11107
"El Pino","Santo Domingo",10508
"El Portal","Santo Domingo",10115
"El Rosal","Santo Domingo",11506
"El Tamarindo","Santo Domingo",11809
"El Tamarindo","Santo Domingo",10801
"El Torito","Santo Domingo",11205
"El Vergel","Santo Domingo",10107
"Encarnación","Santo Domingo",10135
"Engombe","Santo Domingo",10904
"Enriquillo","Santo Domingo",11405
"Ens. Alma Rosa","Santo Domingo",11504
"Ens. Alma Rosa","Santo Domingo",11503
"Ens. Iván Guzmán Klan","Santo Domingo",10904
"Ens. Kennedy","Santo Domingo",10513
"Ens. La Fe","Santo Domingo",10514
"Ens. Paraíso","Santo Domingo",11005
"Ens. Altagracia","Santo Domingo",11114
"Ens. Cristal","Santo Domingo",11404
"Ens. Espaillat","Santo Domingo",10402
"Ensanche Independencia","Santo Domingo",10206
"Ens. La Paz","Santo Domingo",10117
"Ens. Lugo","Santo Domingo",10209
"Ens. Luperón","Santo Domingo",10401
"Ens. Luperón","Santo Domingo",10406
"Ens. Ozama","Santo Domingo",11501
"Ens. Paraíso","Santo Domingo",11202
"Ens. Quisqueya","Santo Domingo",10145
"Ens. Quisqueya","Santo Domingo",10146
"Esperilla","Santo Domingo",10107
"Esperilla","Santo Domingo",10108
"Estela Marina","Santo Domingo",10143
"Eugenio M. de Hostos","Santo Domingo",11802
"Evaristo Morales","Santo Domingo",10147
"Faro A Colón","Santo Domingo",11604
"Felicidad","Santo Domingo",11902
"Francisco Del","Santo Domingo",11904
"Franconia","Santo Domingo",11508
"Fundación","Santo Domingo",10505
"Gacela","Santo Domingo",11102
"Galaxia","Santo Domingo",11004
"Gazcue","Santo Domingo",10205
"Gazcue","Santo Domingo",10205
"Guachupita","Santo Domingo",10302
"Gualey","Santo Domingo",10403
"Guaricanos","Santo Domingo",11301
"Hainamosa","Santo Domingo",11807
"Hamarap","Santo Domingo",11509
"Haras Nacionales","Santo Domingo",11201
"Hato Nuevo","Santo Domingo",10902
"Herrera","Santo Domingo",11005
"Honduras","Santo Domingo",10117
"Invi","Santo Domingo",10801
"Invi Cea","Santo Domingo",11807
"Invimosa","Santo Domingo",11807
"Invivienda","Santo Domingo",11802
"Isabel","Santo Domingo",11509
"Isabel Villas","Santo Domingo",10504
"Invfapol","Santo Domingo",11801
"Ivette","Santo Domingo",11506
"Jacagua","Santo Domingo",11302
"Jardines de Alma Rosa","Santo Domingo",11503
"Jardines de Genovena","Santo Domingo",11201
"Jardines Del Sur","Santo Domingo",11105
"Juan Pablo Duarte","Santo Domingo",11003
"Julieta Morales","Santo Domingo",10130
"Katanga","Santo Domingo",11903
"Km. 7","Santo Domingo",11105
"Km. 8","Santo Domingo",11103
"La Agustina","Santo Domingo",10516
"La Agustinita","Santo Domingo",10509
"La Aldaba","Santo Domingo",10508
"La Antena","Santo Domingo",11207
"La Barquita","Santo Domingo",11404
"La Caridad","Santo Domingo",10410
"La Ceiba","Santo Domingo",10607
"La Cementera","Santo Domingo",10516
"La Cienaga","Santo Domingo",10303
"La Cienaga","Santo Domingo",10804
"La Compuerta","Santo Domingo",10802
"La Concordia","Santo Domingo",10804
"La Cuarenta","Santo Domingo",10502
"La Esperanza","Santo Domingo",10604
"La Esperanza","Santo Domingo",11508
"La Fe","Santo Domingo",10511
"La Fe","Santo Domingo",10512
"La Francia","Santo Domingo",11602
"La Fuente","Santo Domingo",10302
"La Isabela","Santo Domingo",10503
"La Isabela","Santo Domingo",10701
"La Javilla","Santo Domingo",11207
"La Julia","Santo Domingo",11207
"La Meseta","Santo Domingo",10505
"La Milagrosa","Santo Domingo",11901
"La Mina","Santo Domingo",11402
"La Piita","Santo Domingo",10802
"La Placeta","Santo Domingo",11117
"La Primavera","Santo Domingo",10207
"La Puya","Santo Domingo",10507
"La Redención","Santo Domingo",10701
"La Rosa","Santo Domingo",11004
"La Venta","Santo Domingo",10902
"La Yuca","Santo Domingo",10120
"La Yuca","Santo Domingo",10120
"La Zurza","Santo Domingo",10408
"Lanina Gautier","Santo Domingo",10516
"Las Acacias","Santo Domingo",11104
"Las Americas","Santo Domingo",11606
"Las Caobas","Santo Domingo",10905
"Las Caobitas","Santo Domingo",10905
"Las Colinas","Santo Domingo",10608
"Las Crorias","Santo Domingo",10805
"Las Enfermeras","Santo Domingo",11906
"Las Flores","Santo Domingo",10502
"Las Frutas","Santo Domingo",11904
"Las Palmas","Santo Domingo",11003
"Las Palmas","Santo Domingo",11511
"Las Palmeras","Santo Domingo",11302
"Las Villas","Santo Domingo",10603
"Lebrón","Santo Domingo",10801
"Libertad","Santo Domingo",11403
"Lomas de Arroyo Hondo","Santo Domingo",10507
"Lope de Vega","Santo Domingo",10125
"Los 3 Brazos","Santo Domingo",11905
"Los Alcarrizos","Santo Domingo",10801
"Los Alcarrizos","Santo Domingo",10802
"Los Americanos","Santo Domingo",10802
"Los Ángeles","Santo Domingo",10702
"Los Arrecifes","Santo Domingo",10118
"Los Arroyos","Santo Domingo",10507
"Los Cacicazgos","Santo Domingo",11108
"Los Caminos","Santo Domingo",10510
"Los Casabes","Santo Domingo",11302
"Los Conucos","Santo Domingo",11204
"Los Coordinadores","Santo Domingo",11405
"Los Frailes","Santo Domingo",11705
"Los Frailes II","Santo Domingo",11706
"Los Girasoles","Santo Domingo",10702
"Los Guandules","Santo Domingo",10304
"Los Guayabos","Santo Domingo",10607
"Los Jardines Del Norte","Santo Domingo",10602
"Los Libertadores","Santo Domingo",10802
"Los Maestros","Santo Domingo",11110
"Los Millones","Santo Domingo",10139
"Los Millones","Santo Domingo",10140
"Los Millones","Santo Domingo",10141
"Los Millones","Santo Domingo",10142
"Los Millones","Santo Domingo",10144
"Los Mina Norte","Santo Domingo",11903
"Los Mina Sur","Santo Domingo",11901
"Los Mina Viejo","Santo Domingo",11906
"Los Molinos","Santo Domingo",11603
"Los Molinos","Santo Domingo",11801
"Los Palmares","Santo Domingo",11403
"Los Peralejos","Santo Domingo",10702
"Los Pinos","Santo Domingo",10508
"Los Pinos","Santo Domingo",10608
"Los Pinos","Santo Domingo",11807
"Los Praditos","Santo Domingo",10130
"Los Prados","Santo Domingo",10131
"Los Prados","Santo Domingo",10132
"Los Próceres","Santo Domingo",10601
"Los Restauradores","Santo Domingo",10137
"Los Restauradores","Santo Domingo",11805
"Los Ríos","Santo Domingo",10604
"Los Robles","Santo Domingo",10106
"Los Rosales","Santo Domingo",11809
"Los Tres Ojos","Santo Domingo",11605
"Los Trinitarios","Santo Domingo",11512
"Los Trinitarios II","Santo Domingo",11801
"Lotería","Santo Domingo",11405
"Lotería","Santo Domingo",11508
"Lotería","Santo Domingo",11106
"Lotes Y Servicios","Santo Domingo",11401
"Lotificación Del Este","Santo Domingo",11707
"Lotificación Engombe","Santo Domingo",10904
"Lotificación Vista Verde","Santo Domingo",10701
"Lucerna","Santo Domingo",11516
"Luz Consuelo","Santo Domingo",11107
"Luz Divina","Santo Domingo",11004
"Mandinga","Santo Domingo",11512
"Manganagua","Santo Domingo",10138
"Manoguayabo","Santo Domingo",10902
"Manresa","Santo Domingo",11117
"Manzano","Santo Domingo",10505
"Maquiteria","Santo Domingo",11604
"Mar Azul","Santo Domingo",11104
"Marañón","Santo Domingo",11201
"Marañón II","Santo Domingo",11202
"Marbella III","Santo Domingo",11705
"María Auxiliadora","Santo Domingo",10302
"María Auxiliadora","Santo Domingo",10305
"María Isabela","Santo Domingo",11203
"Mata Hambre","Santo Domingo",10102
"Mata Los Indios","Santo Domingo",11202
"Mejoramiento Social","Santo Domingo",10301
"Mejoramiento Social","Santo Domingo",10306
"Mendoza","Santo Domingo",11510
"Mi Hogar","Santo Domingo",11510
"Mi Sueño","Santo Domingo",11509
"Mil Flores","Santo Domingo",11905
"Mirador","Santo Domingo",11102
"Mirador Este","Santo Domingo",11708
"Mirador Norte","Santo Domingo",10114
"Mirador Sur","Santo Domingo",11109
"Miraflores","Santo Domingo",10203
"Miramar","Santo Domingo",11103
"Modelo","Santo Domingo",11301
"Molinuevo","Santo Domingo",11502
"Naco","Santo Domingo",10124
"Naco","Santo Domingo",10122
"Naco","Santo Domingo",10123
"Naco","Santo Domingo",10119
"Narcisa","Santo Domingo",11512
"Nordesa III","Santo Domingo",11103
"Nueva Isabela","Santo Domingo",11301
"Nuevo Amanecer","Santo Domingo",11804
"Nuevo Amanecer","Santo Domingo",10805
"Nuevo Horizonte","Santo Domingo",10805
"Nuevo Renacer","Santo Domingo",11807
"Obras Publicas","Santo Domingo",10801
"Palma Real","Santo Domingo",10702
"Palmarejito","Santo Domingo",10805
"Pantoja","Santo Domingo",10701
"Paraíso","Santo Domingo",10126
"Paraíso Del Caribe","Santo Domingo",10903
"Paraíso Oriental","Santo Domingo",11508
"Parque Del Este I","Santo Domingo",11603
"Parque Ind. Nueva Isabela","Santo Domingo",11807
"Parque Isabela","Santo Domingo",10503
"Parque Mirador Este","Santo Domingo",11604
"Piantini","Santo Domingo",10127
"Piantini","Santo Domingo",10148
"Piantini","Santo Domingo",10150
"Pidoca","Santo Domingo",11901
"Pista de Motocros La Yuca","Santo Domingo",10505
"Ponce","Santo Domingo",11302
"Pradera Hermosa","Santo Domingo",10608
"Prados Del Cachón","Santo Domingo",11515
"Progreso","Santo Domingo",11403
"Proyecto Bnv","Santo Domingo",11302
"Proyecto Ciudad","Santo Domingo",11301
"Pueblo Nuevo","Santo Domingo",10805
"Pueblo Nuevo","Santo Domingo",11601
"Puerto de Haina","Santo Domingo",11117
"Puerto Rico","Santo Domingo",11904
"Puerto Rico","Santo Domingo",10805
"Radiante","Santo Domingo",11207
"Ralma","Santo Domingo",11507
"Renacimiento","Santo Domingo",11111
"Renacimiento","Santo Domingo",11112
"Rep. Alma Rosa","Santo Domingo",11511
"Rep. Villa Carmen","Santo Domingo",11802
"Rep. Villa María","Santo Domingo",11201
"Reparto Aguedita","Santo Domingo",10218
"Reparto Caribe","Santo Domingo",11706
"Reparto Miguelina","Santo Domingo",10702
"Reparto Rudima","Santo Domingo",11207
"Reparto Samaria","Santo Domingo",10702
"Res. Amapola","Santo Domingo",11518
"Res. Clarimar","Santo Domingo",11803
"Res. Del Este","Santo Domingo",11510
"Res. Don Oscar","Santo Domingo",11517
"Res. El Dorado","Santo Domingo",11202
"Res. Fernandez Oriental","Santo Domingo",11804
"Res. Idalia A 1","Santo Domingo",11514
"Res. Lomisa","Santo Domingo",11513
"Res. Mirador Del Este","Santo Domingo",11804
"Res. Noelia","Santo Domingo",11402
"Res. Oriente","Santo Domingo",11509
"Res. Parque Del Este","Santo Domingo",11604
"Res. Santo Domingo","Santo Domingo",11114
